Date,DraftType,Overall,Pick,Player,Position,Last Pick,Draft length,league_id,Name,Lineup,Scoring,Teams,Copies,Decision?
2021-07-15,,1.0,1.01,"McCaffrey, Christian",RB,16.12,16.0,93720,Mock  1048,,"QB_pTD: 0, RB_PPR: 0, WR_PPR: 0, TE_PPR: 0",,,
2021-07-15,,1.0,1.01,"McCaffrey, Christian",RB,16.1,16.0,93773,Mock  1035,,"QB_pTD: 4.0, RB_PPR: 1.0, WR_PPR: 1.0, TE_PPR: 1.0",,,
2021-07-15,,1.0,1.01,"McCaffrey, Christian",RB,16.14,16.0,97961,Mock  976,,"QB_pTD: 4.0, RB_PPR: 1.0, WR_PPR: 1.0, TE_PPR: 1.0",,,
2021-07-15,,1.0,1.01,"McCaffrey, Christian",RB,16.1,16.0,98199,Mock  1037,,"QB_pTD: 4.0, RB_PPR: 1.0, WR_PPR: 1.0, TE_PPR: 1.0",,,
2021-07-15,,1.0,1.01,"McCaffrey, Christian",RB,16.12,16.0,98793,Mock  1023,,"QB_pTD: 4.0, RB_PPR: 1.0, WR_PPR: 1.0, TE_PPR: 1.0",,,
2021-07-15,,1.0,1.01,"McCaffrey, Christian",RB,16.12,16.0,93891,Mock  1041,,"QB_pTD: 4.0, RB_PPR: 1.0, WR_PPR: 1.0, TE_PPR: 1.0",,,
2021-07-15,,1.0,1.01,"McCaffrey, Christian",RB,16.12,16.0,96948,Mock  1042,,"QB_pTD: 0, RB_PPR: 0, WR_PPR: 0, TE_PPR: 0",,,
2021-07-15,,1.0,1.01,"McCaffrey, Christian",RB,16.12,16.0,92805,Mock  1031,,"QB_pTD: 4.0, RB_PPR: 1.0, WR_PPR: 1.0, TE_PPR: 1.0",,,
2021-07-15,,1.0,1.01,"McCaffrey, Christian",RB,16.12,16.0,90267,Mock  1050,,"QB_pTD: 4.0, RB_PPR: 1.0, WR_PPR: 1.0, TE_PPR: 1.0",,,
2021-07-15,,1.0,1.01,"McCaffrey, Christian",RB,16.12,16.0,95901,Mock  1047,,"QB_pTD: 4.0, RB_PPR: 1.0, WR_PPR: 1.0, TE_PPR: 1.0",,,
2021-07-15,,1.0,1.01,"McCaffrey, Christian",RB,16.12,16.0,95983,Mock  1046,,"QB_pTD: 4.0, RB_PPR: 1.0, WR_PPR: 1.0, TE_PPR: 1.0",,,
2021-07-15,SDRAFT,1.0,1.01,"McCaffrey, Christian",RB,16.1,16.0,13729,Den of Thieves 2,"QB: 1, RB: 2-3, WR: 2-3, TE: 1, PK: 1, Def: 1, ","QB_pTD: 0, RB_PPR: 1.0, WR_PPR: 1.0, TE_PPR: 1.0",10.0,1.0,
2021-07-15,,1.0,1.01,"McCaffrey, Christian",RB,16.1,16.0,92823,Mock  980,,"QB_pTD: 0, RB_PPR: 0, WR_PPR: 0, TE_PPR: 0",,,
2021-07-15,,1.0,1.01,"McCaffrey, Christian",RB,16.12,16.0,98032,Mock  1039,,"QB_pTD: 0, RB_PPR: 0, WR_PPR: 0, TE_PPR: 0",,,
2021-07-15,,1.0,1.01,"McCaffrey, Christian",RB,16.12,16.0,94469,Mock  1038,,"QB_pTD: 4.0, RB_PPR: 1.0, WR_PPR: 1.0, TE_PPR: 1.0",,,
2021-07-15,,1.0,1.01,"McCaffrey, Christian",RB,16.14,16.0,91797,Mock  974,,"QB_pTD: 0, RB_PPR: 0, WR_PPR: 0, TE_PPR: 0",,,
2021-07-15,,1.0,1.01,"McCaffrey, Christian",RB,16.12,16.0,96452,Mock  1027,,"QB_pTD: 4.0, RB_PPR: 1.0, WR_PPR: 1.0, TE_PPR: 1.0",,,
2021-07-15,,1.0,1.01,"McCaffrey, Christian",RB,16.12,16.0,93239,Mock  1021,,"QB_pTD: 4.0, RB_PPR: 1.0, WR_PPR: 1.0, TE_PPR: 1.0",,,
2021-07-15,,1.0,1.01,"McCaffrey, Christian",RB,16.1,16.0,92271,Mock  1024,,"QB_pTD: 4.0, RB_PPR: 1.0, WR_PPR: 1.0, TE_PPR: 1.0",,,
2021-07-15,SDRAFT,1.0,1.01,"Mahomes, Patrick",QB,22.12,22.0,44902,DataForce: COPPER 135,"QB: 1, RB: 2-3, WR: 3-4, TE: 1-2, PK: 1, Def: 1, ","QB_pTD: 4.0, RB_PPR: 1.0, WR_PPR: 1.0, TE_PPR: 1.0",12.0,1.0,
2021-07-15,,1.0,1.01,"McCaffrey, Christian",RB,16.12,16.0,93970,Mock  1025,,"QB_pTD: 4.0, RB_PPR: 1.0, WR_PPR: 1.0, TE_PPR: 1.0",,,
2021-07-15,,1.0,1.01,"McCaffrey, Christian",RB,16.1,16.0,95732,Mock  1012,,"QB_pTD: 4.0, RB_PPR: 1.0, WR_PPR: 1.0, TE_PPR: 1.0",,,
2021-07-15,,1.0,1.01,"McCaffrey, Christian",RB,16.12,16.0,90413,Mock  1044,,"QB_pTD: 4.0, RB_PPR: 1.0, WR_PPR: 1.0, TE_PPR: 1.0",,,
2021-07-15,,1.0,1.01,"McCaffrey, Christian",RB,16.1,16.0,92639,Mock  1032,,"QB_pTD: 4.0, RB_PPR: 1.0, WR_PPR: 1.0, TE_PPR: 1.0",,,
2021-07-15,,1.0,1.01,"McCaffrey, Christian",RB,16.1,16.0,92485,Mock  1030,,"QB_pTD: 4.0, RB_PPR: 1.0, WR_PPR: 1.0, TE_PPR: 1.0",,,
2021-07-15,,1.0,1.01,"McCaffrey, Christian",RB,16.12,16.0,91985,Mock  1026,,"QB_pTD: 4.0, RB_PPR: 1.0, WR_PPR: 1.0, TE_PPR: 1.0",,,
2021-07-15,,1.0,1.01,"McCaffrey, Christian",RB,16.1,16.0,94848,Mock  1040,,"QB_pTD: 4.0, RB_PPR: 1.0, WR_PPR: 1.0, TE_PPR: 1.0",,,
2021-07-15,,1.0,1.01,"McCaffrey, Christian",RB,16.12,16.0,98780,Mock  1029,,"QB_pTD: 4.0, RB_PPR: 1.0, WR_PPR: 1.0, TE_PPR: 1.0",,,
2021-07-15,SAME,1.0,1.01,"Mixon, Joe",RB,17.12,17.0,68190,Blockbuster League,"QB: 1, RB: 1-2, WR: 2-4, TE: 1-2, PK: 1, TMDL: 1, TMLB: 1, TMDB: 1, ","QB_pTD: 6.0, RB_PPR: 1.0, WR_PPR: 1.0, TE_PPR: 1.0",12.0,1.0,
2021-07-15,,1.0,1.01,"McCaffrey, Christian",RB,16.12,16.0,94027,Mock  1043,,"QB_pTD: 4.0, RB_PPR: 1.0, WR_PPR: 1.0, TE_PPR: 1.0",,,
2021-07-14,SFIRSTRANDOM,1.0,1.01,"McCaffrey, Christian",RB,16.12,16.0,54614,Masters Bronze Live Draft 140757,"QB: 1, RB: 1-3, WR: 1-3, TE: 1-3, PK: 1, Def: 1, ","QB_pTD: 4.0, RB_PPR: 1.0, WR_PPR: 1.0, TE_PPR: 1.0",12.0,1.0,
2021-07-14,,1.0,1.01,"McCaffrey, Christian",RB,16.12,16.0,94947,Mock  1018,,"QB_pTD: 4.0, RB_PPR: 1.0, WR_PPR: 1.0, TE_PPR: 1.0",,,
