Date,DraftType,Overall,Pick,Player,Position,league_id,Name,Lineup,Scoring,Teams,Copies,Decision?
2021-04-25,SAME,1,1.01,Rookie Pick 1,Pick,21458,Cedar Valley Fantasy League,"QB: 1, RB: 2-3, WR: 2-3, TE: 1-2, DT+DE: 2, LB: 3, CB+S: 2, ","QB_pTD: 6.0, RB_PPR: 1.0, WR_PPR: 1.0, TE_PPR: 1.0",10.0,1.0,
2021-04-06,SAME,1,1.01,Rookie Pick 1,Pick,34045,Deflategate 2021,"QB: 1, RB: 2-4, WR: 3-5, TE: 1-3, ","QB_pTD: 5.0, RB_PPR: 0.75, WR_PPR: 0.75, TE_PPR: 0.75",12.0,1.0,
2021-03-05,SAME,1,1.01,Rookie Pick 1,Pick,19191,Sitcom Devy Dynasty,"QB: 1-2, RB: 2-5, WR: 2-5, TE: 1-3, DT+DE: 2-4, LB: 2-4, CB+S: 2-4, ","QB_pTD: 6.0, RB_PPR: 0, WR_PPR: 0, TE_PPR: 0",12.0,1.0,
2021-04-12,SAME,1,1.01,Rookie Pick 1,Pick,30737,Shark Tank,"QB: 1-2, RB: 1-7, WR: 1-7, TE: 1-7, DE: 2-3, DT: 1-2, LB: 3-4, CB: 2-3, S: 2-3, ","QB_pTD: 6.0, RB_PPR: 0.5, WR_PPR: 0.5, TE_PPR: 0.5",56.0,4.0,
2021-03-19,SAME,1,1.01,"McCaffrey, Christian",RB,57607,2021 Chop Blocked Dispersal,"QB: 1, RB: 1-4, WR: 2-5, TE: 1-4, PK: 1, Def: 1, ","QB_pTD: 6.0, RB_PPR: 0, WR_PPR: 0, TE_PPR: 0",15.0,1.0,
2021-04-25,SAME,1,1.01,Rookie Pick 1,Pick,78047,The DyNasty League,"QB: 1, RB: 2-3, WR: 2-3, TE: 1-2, PK: 1, Def: 1, ","QB_pTD: 6.0, RB_PPR: 0, WR_PPR: 0, TE_PPR: 0",12.0,1.0,
2021-04-27,SAME,1,1.01,"Mahomes, Patrick",QB,10637,Good vs Evil 2 Dispersal,"QB: 1-2, RB: 1-6, WR: 2-7, TE: 1-6, ","QB_pTD: 5.5, RB_PPR: 0.5, WR_PPR: 1.0, TE_PPR: 1.5",24.0,2.0,
2021-04-18,SAME,1,1.01,Rookie Pick 1,Pick,26460,Fantasy Degenerates Dynasty,"QB: 1, RB: 2-5, WR: 2-5, TE: 1-4, ","QB_pTD: 5.0, RB_PPR: 1.0, WR_PPR: 1.0, TE_PPR: 1.0",12.0,1.0,
2021-03-08,SAME,1,1.01,"Sloter, Kyle",QB,33962,Ultimate Devy Dynasty 2,"QB: 1-2, RB: 2-5, WR: 3-6, TE: 1-4, ","QB_pTD: 5.0, RB_PPR: 0.5, WR_PPR: 1.0, TE_PPR: 1.5",12.0,1.0,
2021-03-19,SAME,1,1.01,Rookie Pick 1,Pick,47020,Copy of Dispersal Draft - Sports Legends League,"QB: 1-2, RB: 2-5, WR: 3-6, TE: 1-4, ","QB_pTD: 6.0, RB_PPR: 0.5, WR_PPR: 0.6, TE_PPR: 0.75",9.0,2.0,
2021-04-05,SAME,1,1.01,Rookie Pick 1,Pick,58447,Elite Bobs,"QB: 1, RB: 2-5, WR: 3-6, TE: 1-4, ","QB_pTD: 6.0, RB_PPR: 1.0, WR_PPR: 1.0, TE_PPR: 1.0",12.0,1.0,
2021-03-19,SAME,1,1.01,"Pruitt, MyCole",TE,59841,Ultimate Devy Dynasty 1,"QB: 1-2, RB: 2-4, WR: 3-5, TE: 1-3, ","QB_pTD: 5.0, RB_PPR: 0.5, WR_PPR: 1.0, TE_PPR: 1.5",12.0,1.0,
