,Division,Rank,Team,R,HR,RBI,SB,OBP,K,W,SV,ERA,WHIP,GP,IP,Moves
0,Frank Thomas,0,The Big Hurt,799.0,237.0,785.0,65.0,0.33567169,930.0,57.0,101.0,3.86685858,1.32565671,1414.0,926.3333333333334,25
1,Frank Thomas,0,Team DocEllisBrigade,847.0,198.0,712.0,101.0,0.33620547,1203.0,74.0,61.0,3.50538315,1.15706143,1481.0,1052.6666666666667,131
2,Frank Thomas,0,Stanton  Ovation,640.0,188.0,664.0,27.0,0.3245581,1000.0,69.0,52.0,3.71021716,1.16518334,1332.0,936.3333333333334,16
3,Frank Thomas,0,Team Tim Raines,799.0,256.0,755.0,102.0,0.34224881,1161.0,95.0,40.0,3.63031687,1.21438767,1396.0,1167.6666666666667,105
4,Frank Thomas,0,Baseball James,812.0,243.0,825.0,136.0,0.33633241,1101.0,63.0,0.0,3.72712681,1.13162119,1467.0,1038.3333333333333,58
5,Frank Thomas,0,GeminiBlues GBLUES,624.0,184.0,698.0,52.0,0.32554052,1161.0,80.0,37.0,3.37384457,1.09277645,1446.0,973.6666666666666,76
6,Frank Thomas,0,Duke Devlin,743.0,216.0,710.0,55.0,0.34374458,1133.0,68.0,69.0,3.54709632,1.1621813,1400.0,941.3333333333334,61
7,Frank Thomas,0,Team Brazil,580.0,145.0,572.0,76.0,0.32227488,838.0,59.0,48.0,4.22307692,1.24615385,1236.0,780.0,17
8,Frank Thomas,0,Dark Side,737.0,199.0,683.0,55.0,0.32643678,1061.0,72.0,24.0,4.15812721,1.22084806,1422.0,1132.0,75
9,Frank Thomas,0,Mudville 9 Mudville,744.0,211.0,651.0,86.0,0.33731121,1104.0,58.0,39.0,3.84037267,1.19068323,1344.0,1073.3333333333333,29
10,Frank Thomas,0,Soler Storm,832.0,220.0,701.0,73.0,0.34184016,1167.0,67.0,86.0,3.18828858,1.12876092,1445.0,1030.3333333333333,69
11,Frank Thomas,0,RGR #228,798.0,219.0,710.0,110.0,0.3407087,1016.0,68.0,67.0,3.92446842,1.26055221,1471.0,1050.3333333333333,140
