,Division,Rank,Team,R,HR,RBI,SB,OBP,K,W,SV,ERA,WHIP,GP,IP,Moves
0,Ted Williams,0,Charlotte  Stone crabs ,829.0,272.0,895.0,67.0,0.34028484,1130.0,86.0,89.0,3.11864407,1.08286252,1428.0,1062.0,79
1,Ted Williams,0,Team NorthEast,534.0,166.0,549.0,50.0,0.3231825,912.0,57.0,27.0,3.86187168,1.14017164,1188.0,815.6666666666666,2
2,Ted Williams,0,One Hit Wander,747.0,214.0,755.0,61.0,0.32866307,999.0,64.0,55.0,4.31765557,1.26013025,1466.0,921.3333333333334,99
3,Ted Williams,0,Team SCHWARTZ,754.0,237.0,740.0,73.0,0.32673778,1112.0,73.0,46.0,3.42871353,1.20159151,1442.0,1005.3333333333334,135
4,Ted Williams,0,Team thurlow3,817.0,220.0,718.0,101.0,0.33057715,1145.0,62.0,35.0,3.50718016,1.13479112,1487.0,1021.3333333333334,76
5,Ted Williams,0,Haders Gonna Hate,756.0,195.0,639.0,73.0,0.33746356,1033.0,72.0,45.0,3.97184435,1.20056944,1335.0,1053.6666666666667,8
6,Ted Williams,0,New York Bull Dogs,738.0,205.0,696.0,74.0,0.33447038,907.0,65.0,52.0,4.34838275,1.31907008,1377.0,989.3333333333334,56
7,Ted Williams,0,PujolsMyARod TW,699.0,174.0,661.0,85.0,0.32361309,1122.0,66.0,121.0,3.26009126,1.16356616,1390.0,949.6666666666666,71
8,Ted Williams,0,Team Z,692.0,183.0,654.0,99.0,0.32359003,1026.0,60.0,50.0,3.34237918,1.14089219,1339.0,896.6666666666666,17
9,Ted Williams,0,Team That's My Story,700.0,215.0,685.0,109.0,0.32612679,1193.0,73.0,29.0,3.34527305,1.14151497,1372.0,1135.3333333333333,29
10,Ted Williams,0,Team St Maurice 2,708.0,186.0,660.0,79.0,0.34127566,688.0,43.0,26.0,4.13783133,1.31277108,1345.0,691.6666666666666,11
11,Ted Williams,0,Koufax Kings,771.0,219.0,758.0,78.0,0.34358289,985.0,61.0,31.0,4.12402089,1.21997389,1473.0,1021.3333333333334,87
