Division,Rank,Team,R,HR,RBI,SB,OBP,K,W,SV,ERA,WHIP,GP,IP,Moves
Rollie Fingers,0,Team Denicola,852.0,280.0,827.0,55.0,0.34238587,1048.0,79.0,71.0,3.78349515,1.17961165,1431.0,1030.0,41
Rollie Fingers,0,Three Bagger Nights,856.0,274.0,779.0,93.0,0.33839779,1112.0,59.0,78.0,3.83961039,1.15909091,1413.0,1026.6666666666667,56
Rollie Fingers,0,Team Rhodes,683.0,181.0,727.0,81.0,0.32458319,1214.0,67.0,26.0,3.86674969,1.20579078,1410.0,1070.6666666666667,7
Rollie Fingers,0,Kaz Matsui,681.0,195.0,709.0,100.0,0.32477876,1038.0,63.0,46.0,3.98737772,1.2221521,1416.0,1056.3333333333333,34
Rollie Fingers,0,Copper Fox Tavern IV,771.0,183.0,657.0,82.0,0.34795474,1113.0,68.0,26.0,3.80953969,1.20680454,1430.0,999.3333333333334,31
Rollie Fingers,0,Chaw Dawgs,590.0,174.0,622.0,71.0,0.32309179,845.0,62.0,18.0,3.8586128,1.21989329,1326.0,874.6666666666666,8
Rollie Fingers,0,WV Menopaws,741.0,199.0,727.0,84.0,0.34189964,1017.0,68.0,59.0,4.00800739,1.19186942,1445.0,1082.3333333333333,77
Rollie Fingers,0,Team Bucs,830.0,232.0,742.0,88.0,0.32292337,1080.0,66.0,38.0,3.52851324,1.16904277,1487.0,982.0,63
Rollie Fingers,0,Cheesin' Like Cheddar,753.0,244.0,794.0,97.0,0.31659853,1157.0,78.0,54.0,3.40479193,1.09331652,1495.0,1057.3333333333333,148
Rollie Fingers,0,EI Maeda Mistake (75R),727.0,208.0,714.0,41.0,0.33453302,1056.0,63.0,76.0,3.79746835,1.24050633,1391.0,948.0,53
Rollie Fingers,0,Team Perera,805.0,187.0,673.0,93.0,0.34226699,1089.0,79.0,40.0,3.44848879,1.15632109,1428.0,1025.6666666666667,29
Rollie Fingers,0,"Acuna, Maeda Oh I Wanna Take Ya",691.0,194.0,665.0,67.0,0.32854389,1161.0,74.0,94.0,3.34903846,1.21153846,1427.0,1040.0,107
