Division,Rank,Team,R,HR,RBI,SB,OBP,K,W,SV,ERA,WHIP,GP,IP,Moves
Hank Aaron,0,Team Vlad Guerrero,748.0,233.0,710.0,62.0,0.33027685,1170.0,77.0,52.0,3.33539222,1.14237183,1413.0,1079.3333333333333,105
Hank Aaron,0,Team Special Sauce,763.0,214.0,792.0,104.0,0.3281866,1183.0,79.0,47.0,3.42219578,1.112169,1485.0,1120.3333333333333,65
Hank Aaron,0,DocEllis Brigade,805.0,219.0,762.0,91.0,0.32321285,1246.0,76.0,85.0,3.16778116,1.10425532,1513.0,1096.6666666666667,127
Hank Aaron,0,Team Ly 2,683.0,184.0,611.0,60.0,0.33255904,994.0,71.0,14.0,3.56407563,1.13655462,1268.0,952.0,9
Hank Aaron,0,Trout  Sniffers,765.0,247.0,779.0,75.0,0.32442304,1082.0,56.0,86.0,4.04014599,1.25613802,1482.0,1004.6666666666666,53
Hank Aaron,0,PDX BLAZE,728.0,217.0,699.0,47.0,0.35068389,633.0,50.0,57.0,3.62349869,1.19060052,1314.0,638.3333333333334,9
Hank Aaron,0,Team mattson,867.0,240.0,747.0,123.0,0.35092608,1150.0,67.0,67.0,3.61273721,1.16468318,1475.0,1036.3333333333333,75
Hank Aaron,0,Bone Rollers,704.0,214.0,659.0,85.0,0.32325501,1083.0,77.0,45.0,3.94274686,1.20714056,1450.0,1036.3333333333333,37
Hank Aaron,0,NY Luckydogs,724.0,206.0,687.0,79.0,0.33810675,993.0,64.0,21.0,3.96827452,1.20815798,1344.0,1029.6666666666667,18
Hank Aaron,0,Hebrew Oilers,829.0,207.0,737.0,100.0,0.33586777,1037.0,59.0,51.0,3.92183831,1.28010735,1447.0,993.6666666666666,50
Hank Aaron,0,Team Giordano,648.0,189.0,624.0,70.0,0.33634046,741.0,42.0,78.0,4.27338129,1.26258993,1310.0,741.3333333333334,30
Hank Aaron,0,Steel City Brahmas,668.0,158.0,692.0,61.0,0.33919736,1345.0,77.0,16.0,3.81415436,1.21203678,1362.0,1196.3333333333333,25
