Division,ERA,GP,HR,IP,K,Moves,OBP,R,RBI,Rank,SB,SV,Team,Unnamed: 0,W,WHIP,Sum
Carlton Fisk,101.0,1421.0,115.0,994.0,106.0,36,158.0,152.0,138.0,25.5,127.5,148.5,Tools of Ignorance,0.0,142.0,89.0,1277.0
Carlton Fisk,174.0,1239.0,20.0,914.3333333333335,28.0,22,90.0,2.0,11.0,148.5,11.0,49.0,Woody's Wombats,1.0,52.0,173.0,610.0
Carlton Fisk,158.0,1181.0,105.0,712.0,6.0,6,118.0,7.0,57.0,129.0,33.5,77.5,Virginia  Broken Bats ,2.0,2.0,164.0,728.0
Carlton Fisk,132.0,1416.0,161.0,1096.3333333333333,166.5,44,139.0,138.0,125.0,16.0,22.5,120.5,Chico’s  Bail Bonds,3.0,155.5,135.0,1295.0
Carlton Fisk,39.0,1407.0,122.5,851.0,9.0,38,96.0,114.5,132.5,109.0,114.5,129.0,FEATHERIN' IT BROTHER,4.0,19.5,64.0,840.5
Carlton Fisk,31.0,1375.0,8.0,1049.6666666666667,87.0,51,64.0,22.0,23.5,165.0,75.0,108.0,World Series Hemorrhoids,5.0,45.5,33.0,497.0
Carlton Fisk,84.0,1416.0,39.0,1075.6666666666667,114.0,44,106.0,79.0,17.0,102.0,120.5,142.5,Klickitat Street,6.0,114.0,48.0,864.0
Carlton Fisk,115.0,1418.0,49.5,1225.3333333333333,172.0,51,103.0,101.0,36.0,51.0,179.0,29.0,PA Amish Buggies,7.0,171.0,138.0,1093.5
Carlton Fisk,106.0,1491.0,72.0,1052.6666666666667,71.0,38,97.0,119.5,106.0,65.0,127.5,77.5,Kalamazoo Carbon Emission,8.0,120.0,128.0,1024.5
Carlton Fisk,81.0,1254.0,23.0,737.6666666666665,21.0,12,87.0,9.0,13.0,172.0,5.0,100.5,Team McKenzie 2,9.0,7.0,60.0,406.5
Carlton Fisk,4.0,1391.0,135.5,1211.0,142.5,23,146.0,139.0,151.5,89.0,75.0,3.0,Alabama  Bombsquad ,10.0,75.5,18.0,890.0
Carlton Fisk,52.0,1460.0,92.0,1180.6666666666667,160.0,37,21.0,64.0,120.0,119.0,39.5,86.0,Springfield Isotopes,11.0,120.0,32.0,786.5
