Division,ERA,GP,HR,IP,K,Moves,OBP,R,RBI,Rank,SB,SV,Team,Unnamed: 0,W,WHIP,Sum
Frank Thomas,114.0,1416.0,173.0,1182.0,131.0,109,156.0,151.0,146.5,9.0,164.5,65.0,Team Tim Raines,,178.0,66.0,1345.0
Frank Thomas,100.0,1490.0,167.0,1055.3333333333333,100.0,61,121.0,164.0,176.0,35.0,178.0,1.0,Baseball James,,69.0,154.0,1230.0
Frank Thomas,151.0,1467.0,36.0,1001.3333333333335,136.0,78,45.0,11.0,86.5,103.0,9.0,54.5,GeminiBlues GBLUES,,168.5,166.0,863.5
Frank Thomas,129.0,1422.0,113.0,953.0,114.0,61,161.0,107.5,98.0,55.0,13.5,138.5,Duke Devlin,,92.0,118.0,1084.5
Frank Thomas,13.0,1252.0,1.0,782.0,13.0,17,17.0,4.0,4.0,180.0,81.5,82.5,Team Brazil,,33.5,34.0,283.5
Frank Thomas,21.0,1444.0,75.5,1149.6666666666667,84.0,75,40.0,92.5,69.5,151.0,13.5,19.5,Dark Side,,134.5,55.0,605.0
Frank Thomas,73.0,1362.0,98.0,1085.3333333333333,102.5,29,114.0,94.5,34.5,111.0,127.5,58.0,Mudville 9 Mudville,,33.5,94.0,829.5
Frank Thomas,170.0,1462.0,119.5,1037.3333333333333,134.0,70,152.0,169.0,82.0,14.0,81.5,164.5,Soler Storm,,92.0,157.0,1321.5
Frank Thomas,56.0,1495.0,117.5,1072.3333333333333,63.0,142,138.0,150.0,91.5,59.0,173.0,136.0,RGR #228,,101.5,25.0,1051.5
Jackie Robinson,121.0,1455.0,157.0,1108.0,161.5,80,56.0,103.0,64.0,40.0,81.5,148.5,Smyly Faces,,163.0,110.0,1165.5
Jackie Robinson,54.0,1451.0,13.0,913.0,55.0,22,47.0,26.0,22.0,171.0,17.0,127.0,Woodbury Weiners,,61.0,5.0,427.0
Jackie Robinson,53.0,1292.0,32.0,808.6666666666665,8.0,9,153.0,39.0,44.0,164.0,26.5,40.5,Team Ly,,12.0,90.0,498.0
Jackie Robinson,104.0,1226.0,32.0,990.6666666666665,93.0,11,171.0,12.0,9.5,134.0,110.0,13.0,Team McKenzie,,61.0,86.0,691.5
Jackie Robinson,162.0,1413.0,100.5,970.0,34.5,10,33.0,60.0,91.5,85.0,110.0,70.0,Team Halder,,61.0,178.0,900.5
Jackie Robinson,43.0,1475.0,146.5,1072.3333333333333,89.0,132,82.0,161.0,173.0,43.0,157.5,154.5,Saber Cats,,69.0,77.0,1152.5
Jackie Robinson,159.0,1517.0,174.0,1142.0,145.0,29,126.0,153.0,175.0,15.0,39.5,49.0,HazBeens I,,114.0,161.0,1295.5
Jackie Robinson,118.0,1400.0,140.0,1049.6666666666667,112.0,113,168.0,148.0,134.0,39.0,50.0,90.5,Team Andre Dawson,,163.0,46.0,1169.5
Jackie Robinson,95.0,1448.0,126.0,1067.6666666666667,142.5,116,130.0,157.5,123.0,28.5,162.0,154.5,Chin Music,,127.5,43.0,1261.0
Jackie Robinson,112.0,1435.0,60.5,1079.6666666666667,95.0,52,42.0,81.5,148.5,70.0,148.5,65.0,Piazza  Delivery ,,134.5,117.0,1004.5
Jackie Robinson,66.0,1269.0,39.0,947.6666666666665,53.0,7,76.0,10.0,38.5,150.0,19.5,67.0,Hey Soapy!,,92.0,147.0,608.0
Jackie Robinson,27.0,1371.0,16.5,1164.0,173.0,49,41.0,40.5,19.0,135.0,136.5,86.0,Buffalo Braves,,120.0,22.0,681.5
Roger Maris,67.0,1453.0,132.5,936.6666666666665,50.0,49,1.0,52.5,144.0,133.0,62.0,105.5,Money Ball,,29.0,52.0,695.5
Roger Maris,3.0,1337.0,11.0,1038.6666666666667,57.0,71,71.0,35.0,15.0,166.0,91.5,123.0,Team pace,,61.0,14.0,481.5
Roger Maris,97.0,1344.0,95.0,872.6666666666665,30.0,18,115.0,85.5,47.5,88.0,131.0,175.0,Team Symonds,,61.0,59.0,896.0
Roger Maris,1.0,1463.0,167.0,1124.0,168.0,33,7.0,106.0,142.0,108.0,50.0,82.5,Fear the Chop,,127.5,6.0,857.0
Roger Maris,142.0,1489.0,62.0,1020.6666666666665,151.0,73,73.0,133.0,89.0,71.0,67.5,86.0,Team thurlow2,,52.0,131.0,986.5
Roger Maris,179.0,1382.0,58.5,908.3333333333335,38.0,25,172.0,87.0,52.5,68.0,124.0,90.5,Team Esposito,,52.0,165.0,1018.5
Roger Maris,87.0,1466.0,75.5,1148.6666666666667,171.0,80,134.0,114.5,116.0,45.0,99.5,40.5,Myrtle Beach Mermen,,163.0,133.0,1134.0
Roger Maris,110.0,1492.0,135.5,1093.0,91.5,56,84.0,154.5,169.0,17.0,166.0,125.0,Team Cochran,,108.0,149.0,1292.5
Roger Maris,168.0,1436.0,130.0,1094.6666666666667,169.0,66,69.0,134.0,131.0,10.0,95.5,169.0,PujolsMyARod RM,,101.5,168.0,1335.0
Roger Maris,150.0,1432.0,105.0,1190.3333333333333,150.0,42,162.0,128.0,81.0,33.0,131.0,44.5,Orioles Magic,,173.0,109.0,1233.5
Roger Maris,24.0,1413.0,67.0,1034.6666666666667,73.5,35,128.0,54.5,79.5,157.0,17.0,24.5,Copper Fox Tavern II,,61.0,13.0,542.0
Roger Maris,113.0,1406.0,92.0,736.6666666666665,4.0,7,147.0,88.0,84.0,118.0,103.0,61.5,Team St Maurice 4,,5.0,108.0,805.5
Roberto Clemente,74.0,1351.0,88.5,800.3333333333335,16.0,21,65.0,54.5,58.0,138.0,95.5,138.5,Team Z1,,12.0,67.0,669.0
Roberto Clemente,111.0,1479.0,159.5,1156.0,166.5,31,145.0,141.0,172.0,20.0,75.0,142.5,Fear the Tomahawk,,45.5,129.0,1287.0
Roberto Clemente,172.0,1440.0,28.5,1017.6666666666665,152.0,89,78.0,62.0,31.0,67.0,33.5,168.0,Team thurlow4,,120.0,174.0,1019.0
Roberto Clemente,70.0,1443.0,127.5,1113.3333333333333,175.0,77,88.0,146.5,111.5,36.0,168.5,95.0,The Charros,,168.5,79.0,1229.5
