,Division,Rank,Team,R,HR,RBI,SB,OBP,K,W,SV,ERA,WHIP,GP,IP,Moves
0,Roger Maris,0,Money Ball,705.0,226.0,753.0,69.0,0.31137931,1001.0,57.0,53.0,3.86131124,1.2287464,1432.0,925.3333333333334,49
1,Roger Maris,0,Team pace,684.0,166.0,614.0,78.0,0.33208396,1025.0,64.0,60.0,4.37978758,1.2658513,1320.0,1035.6666666666667,71
2,Roger Maris,0,Team Symonds,731.0,208.0,660.0,89.0,0.33667108,932.0,63.0,98.0,3.70976457,1.21922038,1327.0,863.6666666666666,17
3,Roger Maris,0,Fear the Chop,749.0,244.0,752.0,66.0,0.31638898,1223.0,71.0,48.0,4.3890411,1.29589041,1446.0,1095.0,33
4,Roger Maris,0,Team thurlow2,778.0,195.0,702.0,71.0,0.33167165,1204.0,63.0,47.0,3.44624011,1.1487467,1472.0,1010.6666666666666,71
5,Roger Maris,0,Team Esposito,732.0,194.0,662.0,88.0,0.34904459,957.0,63.0,49.0,2.89959544,1.09562339,1363.0,906.3333333333334,25
6,Roger Maris,0,Myrtle Beach Mermen,760.0,203.0,726.0,81.0,0.33950617,1259.0,77.0,30.0,3.73625074,1.14340627,1450.0,1127.3333333333333,80
7,Roger Maris,0,Team Cochran,800.0,224.0,789.0,104.0,0.33240635,1095.0,70.0,61.0,3.66298343,1.1335175,1468.0,1086.0,56
8,Roger Maris,0,PujolsMyARod RM,775.0,223.0,740.0,78.0,0.33009709,1230.0,67.0,91.0,3.17745953,1.0871731,1416.0,1070.6666666666667,64
9,Roger Maris,0,Orioles Magic,773.0,213.0,700.0,89.0,0.34399444,1196.0,86.0,34.0,3.375,1.18014706,1412.0,1178.6666666666667,42
10,Roger Maris,0,Copper Fox Tavern II,707.0,199.0,697.0,56.0,0.33860585,1040.0,62.0,26.0,4.13529606,1.26629176,1393.0,1007.6666666666666,35
11,Roger Maris,0,Team St Maurice 4,730.0,206.0,700.0,79.0,0.34074605,729.0,46.0,40.0,3.62870159,1.17676538,1388.0,731.6666666666666,7
