Division,Rank,Team,R,HR,RBI,SB,OBP,K,W,SV,ERA,WHIP,GP,IP,Moves
Pete Rose,0,Team Mod,800.0,254.0,777.0,102.0,0.33399701,1215.0,77.0,78.0,3.49137931,1.14655172,1465.0,1044.0,111
Pete Rose,0,Florida Rats,715.0,199.0,694.0,62.0,0.33229415,975.0,61.0,19.0,3.80708523,1.22693792,1397.0,950.3333333333334,27
Pete Rose,0,Fighting Weasels,851.0,256.0,789.0,112.0,0.34147975,1146.0,66.0,74.0,2.92791653,1.05754031,1457.0,1054.3333333333333,39
Pete Rose,0,Sweat Hogs,849.0,239.0,845.0,71.0,0.34396245,1119.0,69.0,39.0,4.22242991,1.24392523,1497.0,1070.0,66
Pete Rose,0,Lino Glengoyne,738.0,204.0,697.0,62.0,0.34050812,906.0,55.0,68.0,4.11092366,1.24124842,1402.0,790.3333333333334,25
Pete Rose,0,The Cajuns 2,618.0,186.0,593.0,64.0,0.32720157,869.0,56.0,97.0,3.59541985,1.15648855,1312.0,786.0,25
Pete Rose,0,Shea Bridge,683.0,228.0,755.0,40.0,0.32187443,867.0,52.0,56.0,3.23174873,1.17020374,1369.0,785.3333333333334,20
Pete Rose,0,Pine Tar Society,754.0,166.0,663.0,122.0,0.3336619,1070.0,66.0,50.0,3.59828244,1.1269084,1476.0,1048.0,59
Pete Rose,0,Disposable Heroes 9,678.0,208.0,627.0,90.0,0.32007333,1078.0,68.0,27.0,4.14060128,1.29000911,1433.0,1097.6666666666667,123
Pete Rose,0,Enuff Said,706.0,149.0,627.0,86.0,0.34543086,1037.0,60.0,36.0,3.95704918,1.22655738,1348.0,1016.6666666666666,31
Pete Rose,0,Team cywinski,735.0,210.0,693.0,69.0,0.33699309,1215.0,88.0,2.0,3.51670951,1.14395887,1387.0,1167.0,47
Pete Rose,0,Team R,732.0,184.0,659.0,85.0,0.32261484,1226.0,78.0,75.0,3.79338843,1.21028466,1423.0,1089.0,52
