Division,Rank,Team,R,HR,RBI,SB,OBP,K,W,SV,ERA,WHIP,GP,IP,Moves
Oil Can Boyd,0,Team 1,781.0,212.0,737.0,100.0,0.3291625,824.0,53.0,46.0,3.58883474,1.1590607,1476.0,752.3333333333334,59
Oil Can Boyd,0,Let the boy watch,807.0,207.0,754.0,98.0,0.34058942,1106.0,77.0,70.0,3.97984252,1.1896063,1462.0,1058.3333333333333,155
Oil Can Boyd,0,Slow Roar,747.0,204.0,724.0,81.0,0.32776757,1154.0,71.0,30.0,3.75551471,1.23253676,1459.0,1088.0,65
Oil Can Boyd,0,The Till Hammer,749.0,194.0,659.0,128.0,0.31798942,1147.0,76.0,89.0,3.27786967,1.07674496,1401.0,1007.6666666666666,62
Oil Can Boyd,0,Luckydogs  coyle,652.0,185.0,702.0,75.0,0.31649466,1172.0,68.0,40.0,3.52864664,1.16227934,1413.0,1076.3333333333333,19
Oil Can Boyd,0,Acuna  Matata,679.0,182.0,618.0,59.0,0.33603468,983.0,72.0,95.0,4.0354251,1.26417004,1340.0,988.0,36
Oil Can Boyd,0,Team Pedro Martinez,872.0,247.0,765.0,61.0,0.35306908,1068.0,70.0,52.0,3.67116683,1.2295082,1430.0,1037.0,126
Oil Can Boyd,0,Uncle Tom's  Glavine,691.0,191.0,721.0,68.0,0.32110727,1305.0,79.0,15.0,3.85222052,1.20520674,1415.0,1306.0,59
Oil Can Boyd,0,Team Robins,722.0,224.0,754.0,67.0,0.34211476,1033.0,77.0,24.0,3.86696372,1.21833227,1375.0,1047.3333333333333,7
Oil Can Boyd,0,Ellen's Degenerates,774.0,237.0,718.0,103.0,0.33303282,890.0,56.0,44.0,4.03414097,1.18612335,1381.0,908.0,34
Oil Can Boyd,0,UNC Tar Heels,781.0,235.0,702.0,72.0,0.34931861,1192.0,73.0,81.0,2.80338048,1.02242152,1447.0,966.3333333333334,39
Oil Can Boyd,0,The Ringers,748.0,221.0,757.0,70.0,0.33355526,1462.0,73.0,28.0,4.16662565,1.25449175,1469.0,1354.3333333333333,61
