Division,ERA,GP,HR,IP,K,Moves,OBP,R,RBI,Rank,SB,SV,Team,Unnamed: 0,W,WHIP
Carlton Fisk,3.69416499,1421.0,219.0,994.0,1126.0,36,0.34230905,813.0,756.0,0,89.0,77.0,Tools of Ignorance,0.0,76.0,1.19919517
Carlton Fisk,3.08093328,1239.0,175.0,914.3333333333335,931.0,22,0.33354115,574.0,609.0,0,54.0,36.0,Woody's Wombats,1.0,63.0,1.07291287
Carlton Fisk,3.3244382000000003,1181.0,215.0,712.0,749.0,6,0.33687792,608.0,685.0,0,62.0,47.0,Virginia  Broken Bats ,2.0,43.0,1.0997191000000002
Carlton Fisk,3.55457586,1416.0,242.0,1096.3333333333333,1248.0,44,0.34003782,797.0,746.0,0,60.0,59.0,Chico’s  Bail Bonds,3.0,78.0,1.14472484
Carlton Fisk,4.029377200000001,1407.0,223.0,851.0,805.0,38,0.33402669,768.0,752.0,0,85.0,63.0,FEATHERIN' IT BROTHER,4.0,56.0,1.21856639
Carlton Fisk,4.06414735,1375.0,164.0,1049.6666666666667,1086.0,51,0.32995658,675.0,635.0,0,74.0,54.0,World Series Hemorrhoids,5.0,62.0,1.24896793
Carlton Fisk,3.78184072,1416.0,186.0,1075.6666666666667,1146.0,44,0.33548162,736.0,623.0,0,87.0,71.0,Klickitat Street,6.0,71.0,1.22714596
Carlton Fisk,3.63574538,1418.0,191.0,1225.3333333333333,1288.0,51,0.33501479,756.0,658.0,0,142.0,27.0,PA Amish Buggies,7.0,85.0,1.14336235
Carlton Fisk,3.67637745,1491.0,204.0,1052.6666666666667,1061.0,38,0.33420708,774.0,726.0,0,89.0,47.0,Kalamazoo Carbon Emission,8.0,72.0,1.15326156
Carlton Fisk,3.79439675,1254.0,179.0,737.6666666666665,886.0,12,0.33326641,624.0,613.0,0,45.0,52.0,Team McKenzie 2,9.0,49.0,1.22006326
Carlton Fisk,4.3699422,1391.0,229.0,1211.0,1194.0,23,0.3407687,798.0,770.0,0,74.0,8.0,Alabama  Bombsquad ,10.0,66.0,1.26176713
Carlton Fisk,3.94099379,1460.0,210.0,1180.6666666666667,1221.0,37,0.32184499,721.0,739.0,0,63.0,49.0,Springfield Isotopes,11.0,72.0,1.25098814
