Division,ERA,GP,HR,IP,K,Moves,OBP,R,RBI,Rank,SB,SV,Team,Unnamed: 0,W,WHIP
Frank Thomas,3.7284345,1348.0,192.0,939.0,1004.0,16,0.32416868,650.0,675.0,0,29.0,53.0,Stanton  Ovation,,69.0,1.16932907
Frank Thomas,3.63959391,1416.0,261.0,1182.0,1173.0,109,0.34223764,812.0,767.0,0,104.0,42.0,Team Tim Raines,,96.0,1.21742809
Frank Thomas,3.70120025,1490.0,249.0,1055.3333333333333,1114.0,61,0.33703883,827.0,838.0,0,137.0,0.0,Baseball James,,65.0,1.12760581
Frank Thomas,3.37050599,1467.0,185.0,1001.3333333333335,1182.0,78,0.32612082,637.0,710.0,0,53.0,38.0,GeminiBlues GBLUES,,82.0,1.09354194
Frank Thomas,3.5792235,1422.0,218.0,953.0,1146.0,61,0.34283763,762.0,721.0,0,55.0,70.0,Duke Devlin,,68.0,1.16684155
Frank Thomas,4.22378517,1252.0,146.0,782.0,840.0,17,0.32133415,585.0,578.0,0,76.0,48.0,Team Brazil,,59.0,1.2455243
Frank Thomas,4.12554364,1444.0,205.0,1149.6666666666667,1081.0,75,0.32526975,749.0,695.0,0,55.0,24.0,Dark Side,,74.0,1.22296318
Frank Thomas,3.83108108,1362.0,212.0,1085.3333333333333,1116.0,29,0.33646409,750.0,657.0,0,89.0,39.0,Mudville 9 Mudville,,59.0,1.19502457
Frank Thomas,3.16677378,1462.0,222.0,1037.3333333333333,1180.0,70,0.34201792,842.0,708.0,0,76.0,86.0,Soler Storm,,68.0,1.125
Frank Thomas,3.91949021,1495.0,221.0,1072.3333333333333,1040.0,142,0.33971527,811.0,712.0,0,115.0,69.0,RGR #228,,69.0,1.25613926
Jackie Robinson,3.61462094,1455.0,240.0,1108.0,1226.0,80,0.32818074,757.0,690.0,0,76.0,77.0,Smyly Faces,,79.0,1.17689531
Jackie Robinson,3.92332968,1451.0,169.0,913.0,1022.0,22,0.3262741,681.0,629.0,0,56.0,62.0,Woodbury Weiners,,64.0,1.30449069
Jackie Robinson,3.9286892,1292.0,184.0,808.6666666666665,783.0,9,0.34204413,699.0,664.0,0,61.0,32.0,Team Ly,,52.0,1.19826876
Jackie Robinson,3.6884252999999996,1226.0,184.0,990.6666666666665,1103.0,11,0.34726490000000004,640.0,602.0,0,84.0,18.0,Team McKenzie,,64.0,1.20020188
Jackie Robinson,3.27525773,1413.0,213.0,970.0,945.0,10,0.32364782,716.0,712.0,0,84.0,45.0,Team Halder,,64.0,1.05463918
Jackie Robinson,3.98663351,1475.0,236.0,1072.3333333333333,1090.0,132,0.33255775,823.0,825.0,0,101.0,79.0,Saber Cats,,65.0,1.20671433
Jackie Robinson,3.30210158,1517.0,268.0,1142.0,1197.0,29,0.33773555,816.0,830.0,0,63.0,36.0,HazBeens I,,71.0,1.117338
Jackie Robinson,3.61829152,1400.0,232.0,1049.6666666666667,1142.0,113,0.34668721,808.0,753.0,0,68.0,50.0,Team Andre Dawson,,79.0,1.23181963
Jackie Robinson,3.71745239,1448.0,225.0,1067.6666666666667,1194.0,116,0.33814398,820.0,745.0,0,103.0,79.0,Chin Music,,73.0,1.23353106
