,Division,Rank,Team,R,HR,RBI,SB,OBP,K,W,SV,ERA,WHIP,GP,IP,Moves
0,Roberto Clemente,0,Team Z1,698.0,202.0,671.0,79.0,0.3295433,844.0,51.0,69.0,3.83108108,1.21241554,1330.0,789.3333333333334,21
1,Roberto Clemente,0,Fear the Tomahawk,790.0,240.0,814.0,73.0,0.34140234,1248.0,62.0,71.0,3.64359862,1.14965398,1459.0,1156.0,30
2,Roberto Clemente,0,Team thurlow4,706.0,181.0,645.0,61.0,0.3317022,1203.0,72.0,90.0,3.07808896,1.07149918,1420.0,1011.6666666666666,88
3,Roberto Clemente,0,The Charros,798.0,224.0,724.0,110.0,0.33400167,1328.0,80.0,49.0,3.83602069,1.20839671,1429.0,1095.6666666666667,77
4,Roberto Clemente,0,Shaky Pizza,784.0,201.0,694.0,81.0,0.334214,1193.0,84.0,67.0,3.27413793,1.12241379,1461.0,1160.0,37
5,Roberto Clemente,0,CONTI LEWIS MLB,751.0,223.0,702.0,91.0,0.32757728,1359.0,99.0,53.0,4.13245963,1.28621577,1439.0,1424.3333333333333,122
6,Roberto Clemente,0,Copper Fox Tavern III,728.0,208.0,628.0,86.0,0.34948605,1090.0,72.0,27.0,3.66434955,1.18867925,1370.0,1007.0,30
7,Roberto Clemente,0,Coocoo for CoCo,657.0,176.0,625.0,68.0,0.32922669,931.0,57.0,35.0,4.1279834,1.21930128,1312.0,963.6666666666666,20
8,Roberto Clemente,0,Team St Maurice 5,699.0,199.0,776.0,55.0,0.32965075,663.0,45.0,10.0,4.06491713,1.22928177,1381.0,724.0,7
9,Roberto Clemente,0,Stars and Stripes,713.0,189.0,698.0,78.0,0.3311458,1388.0,90.0,27.0,3.75741445,1.13764259,1393.0,1315.0,42
10,Roberto Clemente,0,The Cajuns,721.0,220.0,716.0,74.0,0.34577641,881.0,61.0,76.0,4.0828751,1.25844462,1314.0,848.6666666666666,32
11,Roberto Clemente,0,80 Grade Aces,769.0,231.0,751.0,96.0,0.32542995,1175.0,72.0,38.0,3.34559535,1.11713456,1463.0,1033.0,28
