Division,Rank,Team,R,HR,RBI,SB,OBP,K,W,SV,ERA,WHIP,GP,IP,Moves
Sandy Koufax,0,Team Thurlow5,768.0,211.0,737.0,79.0,0.32327086,1192.0,68.0,35.0,3.72473532,1.13282002,1489.0,1039.0,80
Sandy Koufax,0,Who has  the runs?,715.0,197.0,660.0,87.0,0.33139644,867.0,49.0,58.0,3.77008416,1.20390207,1334.0,871.3333333333334,29
Sandy Koufax,0,Tampa Smokers,843.0,300.0,921.0,69.0,0.33527261,1043.0,69.0,126.0,3.61134454,1.16386555,1439.0,952.0,53
Sandy Koufax,0,Team SCHWARTZ 2,835.0,250.0,750.0,84.0,0.34707558,1196.0,78.0,48.0,3.79541889,1.20866018,1442.0,1062.3333333333333,149
Sandy Koufax,0,Crown of Thorns,781.0,234.0,809.0,74.0,0.33431085,1047.0,68.0,82.0,3.05208718,1.05282601,1491.0,902.3333333333334,31
Sandy Koufax,0,London Swords,752.0,207.0,666.0,99.0,0.33520408,1067.0,77.0,50.0,3.38486522,1.13803183,1432.0,1026.3333333333333,66
Sandy Koufax,0,PujolsMyARod SK,721.0,153.0,593.0,97.0,0.32823897,969.0,59.0,81.0,4.0604357,1.25860857,1404.0,948.6666666666666,65
Sandy Koufax,0,Brooklyn Dodgers,658.0,156.0,602.0,77.0,0.33768804,828.0,51.0,25.0,4.09302326,1.23901809,1258.0,774.0,3
Sandy Koufax,0,TEAM Brus Stat Cru 1,735.0,199.0,740.0,72.0,0.33127048,1271.0,64.0,9.0,3.56435644,1.18271827,1391.0,1111.0,28
Sandy Koufax,0,Team Z2,682.0,178.0,636.0,56.0,0.33774218,945.0,59.0,47.0,3.77868186,1.18877136,1348.0,819.3333333333334,18
Sandy Koufax,0,Copper Fox Tavern I,711.0,194.0,667.0,94.0,0.33234057,1156.0,77.0,36.0,3.71125461,1.19280443,1432.0,1084.0,47
Sandy Koufax,0,Team St Maurice 3,712.0,227.0,730.0,61.0,0.33826448,849.0,60.0,42.0,3.83741323,1.21556449,1376.0,912.3333333333334,7
