Division,Rank,Team,R,HR,RBI,SB,OBP,K,W,SV,ERA,WHIP,GP,IP,Moves
Barry Bonds,0,Cellar  Door,784.0,229.0,762.0,61.0,0.33696949,1156.0,70.0,67.0,3.71292776,1.14163498,1432.0,1052.0,63
Barry Bonds,0,Team OConnell,753.0,226.0,803.0,85.0,0.32172029,1095.0,66.0,50.0,3.97220339,1.23457627,1503.0,983.3333333333334,83
Barry Bonds,0,Killing  Me Smalls,686.0,217.0,713.0,58.0,0.33211679,1176.0,70.0,60.0,3.61657262,1.13780814,1381.0,1122.3333333333333,15
Barry Bonds,0,Team VladtheImpaler,792.0,216.0,727.0,91.0,0.33453114,1102.0,64.0,37.0,3.88235294,1.2373581,1443.0,969.0,153
Barry Bonds,0,Strike 3,715.0,190.0,689.0,62.0,0.3374043,965.0,69.0,81.0,4.18309859,1.28627579,1377.0,1017.6666666666666,45
Barry Bonds,0,204 Iron Birds,829.0,239.0,782.0,133.0,0.33751609,1219.0,72.0,30.0,4.30095403,1.2567216,1514.0,1153.0,83
Barry Bonds,0,Doctor Detroit II,754.0,238.0,711.0,69.0,0.32097711,1116.0,71.0,52.0,3.90950226,1.20523594,1467.0,1031.3333333333333,48
Barry Bonds,0,90 Day Fiancés,820.0,231.0,746.0,113.0,0.34007833,1104.0,68.0,56.0,3.43911554,1.13516039,1474.0,1070.3333333333333,124
Barry Bonds,0,Just Wandering,652.0,167.0,590.0,66.0,0.31515712,1109.0,64.0,33.0,4.05866178,1.25572869,1397.0,1091.0,76
Barry Bonds,0,Slytherin Purebloods,866.0,236.0,841.0,99.0,0.33900905,1215.0,67.0,57.0,3.86205798,1.19942657,1549.0,1046.3333333333333,42
Barry Bonds,0,Woody's Warriors,599.0,170.0,561.0,43.0,0.32181471,1075.0,58.0,35.0,3.72162162,1.22331081,1235.0,986.6666666666666,18
Barry Bonds,0,Dire Wolves,787.0,204.0,711.0,98.0,0.33170567,983.0,86.0,70.0,2.98896321,1.08461538,1420.0,996.6666666666666,74
