,Division,Rank,Team,R,HR,RBI,SB,OBP,K,W,SV,ERA,WHIP,GP,IP,Moves
0,Jackie Robinson,0,Smyly Faces,741.0,235.0,684.0,74.0,0.32821663,1214.0,79.0,77.0,3.55478208,1.1722155,1435.0,1101.3333333333333,79
1,Jackie Robinson,0,Woodbury Weiners,668.0,165.0,622.0,56.0,0.32635983,1007.0,62.0,62.0,3.96412722,1.30362426,1432.0,901.3333333333334,22
2,Jackie Robinson,0,Team Ly,690.0,181.0,659.0,59.0,0.34215686,776.0,52.0,32.0,3.90995851,1.19502075,1276.0,803.3333333333334,9
3,Jackie Robinson,0,Team McKenzie,631.0,181.0,592.0,84.0,0.34825146,1099.0,64.0,18.0,3.69262018,1.19837508,1207.0,984.6666666666666,11
4,Jackie Robinson,0,Team Halder,708.0,210.0,702.0,83.0,0.32388377,943.0,64.0,45.0,3.27863777,1.05572755,1396.0,969.0,10
5,Jackie Robinson,0,Saber Cats,807.0,233.0,815.0,100.0,0.3336714,1089.0,65.0,79.0,3.99408284,1.20803488,1451.0,1070.3333333333333,132
6,Jackie Robinson,0,HazBeens I,808.0,268.0,823.0,62.0,0.33811075,1180.0,70.0,36.0,3.21870332,1.10875411,1500.0,1115.6666666666667,29
7,Jackie Robinson,0,Team Andre Dawson,796.0,230.0,743.0,68.0,0.34595346,1131.0,78.0,48.0,3.634115,1.23642788,1380.0,1037.6666666666667,111
8,Jackie Robinson,0,Chin Music,806.0,224.0,739.0,100.0,0.33872891,1180.0,72.0,75.0,3.75711575,1.23908918,1427.0,1054.0,116
9,Jackie Robinson,0,Piazza  Delivery ,730.0,195.0,756.0,94.0,0.32624957,1091.0,73.0,42.0,3.628125,1.1653125,1416.0,1066.6666666666667,52
10,Jackie Robinson,0,Hey Soapy!,614.0,180.0,641.0,56.0,0.33092224,1004.0,67.0,43.0,3.86404293,1.1313059,1249.0,931.6666666666666,7
11,Jackie Robinson,0,Buffalo Braves,687.0,168.0,618.0,88.0,0.32397529,1251.0,69.0,49.0,4.07712766,1.2570922,1351.0,1128.0,48
