,Division,Rank,Team,R,HR,RBI,SB,OBP,K,W,SV,ERA,WHIP,GP,IP,Moves
0,Babe Ruth,0, Medias Rojas  De Boston,725.0,232.0,772.0,64.0,0.32333503,1183.0,66.0,47.0,3.21753794,1.12731872,1442.0,1186.0,61
1,Babe Ruth,0,Moscow Doom,768.0,186.0,738.0,92.0,0.33480851,1203.0,77.0,35.0,3.0,1.05842912,1455.0,1044.0,30
2,Babe Ruth,0,Florida NEWBIES,800.0,183.0,660.0,70.0,0.34296218,1121.0,62.0,12.0,4.16212625,1.26877076,1424.0,1003.3333333333334,36
3,Babe Ruth,0,Seto Kaiba,664.0,177.0,676.0,77.0,0.31946872,1155.0,78.0,49.0,3.41267236,1.12081418,1411.0,1015.3333333333334,36
4,Babe Ruth,0,Brew  Crew ,709.0,207.0,769.0,90.0,0.32853675,1037.0,72.0,10.0,3.5051996,1.16839987,1445.0,993.6666666666666,49
5,Babe Ruth,0,London Plastics,745.0,204.0,693.0,77.0,0.33869558,1142.0,56.0,51.0,3.66116227,1.1470308,1418.0,1049.6666666666667,59
6,Babe Ruth,0,Player Haters,813.0,269.0,799.0,90.0,0.33261051,976.0,78.0,95.0,4.0311493,1.26208378,1442.0,931.0,108
7,Babe Ruth,0,Steal Your Base,657.0,185.0,626.0,81.0,0.31841776,1111.0,65.0,57.0,4.3835705,1.33505821,1410.0,1030.6666666666667,114
8,Babe Ruth,0,IL 10,673.0,224.0,647.0,62.0,0.34683445,765.0,48.0,30.0,3.87236842,1.25657895,1275.0,760.0,17
9,Babe Ruth,0,Woody's Wonders,576.0,168.0,561.0,61.0,0.3209132,900.0,54.0,57.0,3.6922188,1.17642527,1218.0,865.3333333333334,17
10,Babe Ruth,0,Rockford Peaches,765.0,209.0,743.0,69.0,0.33477712,944.0,70.0,71.0,3.8190184,1.26993865,1366.0,978.0,32
11,Babe Ruth,0,Good Times Bad Times,809.0,237.0,723.0,108.0,0.33344344,1062.0,67.0,103.0,3.32201533,1.08652793,1456.0,913.0,22
